ESU,MAJOR_POPULATION_GROUP,COMMON_POPULATION_NAME,SPECIES,RUN_TIMING,BROOD_YEAR,NUMBER_OF_SPAWNERS,FRACWILD
Lower Columbia River Chinook Salmon ESU,Gorge,Upper Gorge Tributaries,Chinook,Fall-run,2007,263,0
Lower Columbia River Chinook Salmon ESU,Gorge,Upper Gorge Tributaries,Chinook,Fall-run,2008,181,0
Lower Columbia River Chinook Salmon ESU,Gorge,Upper Gorge Tributaries,Chinook,Fall-run,2009,343,-99
Lower Columbia River Chinook Salmon ESU,Gorge,Upper Gorge Tributaries,Chinook,Fall-run,2011,1815,0.32
Lower Columbia River Chinook Salmon ESU,Cascade,Washougal River,Chinook,Fall-run,1977,1652,0.46
Lower Columbia River Chinook Salmon ESU,Cascade,Washougal River,Chinook,Fall-run,1978,593,0.46
Lower Columbia River Chinook Salmon ESU,Cascade,Washougal River,Chinook,Fall-run,1979,2388,0.46
Lower Columbia River Chinook Salmon ESU,Cascade,Washougal River,Chinook,Fall-run,1980,3437,0.46
Lower Columbia River Chinook Salmon ESU,Cascade,Washougal River,Chinook,Fall-run,1981,1841,0.46
Lower Columbia River Chinook Salmon ESU,Cascade,Washougal River,Chinook,Fall-run,1982,330,0.46
Lower Columbia River Chinook Salmon ESU,Cascade,Washougal River,Chinook,Fall-run,1983,2677,0.46
Lower Columbia River Chinook Salmon ESU,Cascade,Washougal River,Chinook,Fall-run,1984,1217,0.46
Lower Columbia River Chinook Salmon ESU,Cascade,Washougal River,Chinook,Fall-run,1985,1983,0.46
Lower Columbia River Chinook Salmon ESU,Cascade,Washougal River,Chinook,Fall-run,1986,1589,0.46
Lower Columbia River Chinook Salmon ESU,Cascade,Washougal River,Chinook,Fall-run,1987,3578,0.46
Lower Columbia River Chinook Salmon ESU,Cascade,Washougal River,Chinook,Fall-run,1988,3135,0.46
Lower Columbia River Chinook Salmon ESU,Cascade,Washougal River,Chinook,Fall-run,1989,4408,0.46
Lower Columbia River Chinook Salmon ESU,Cascade,Washougal River,Chinook,Fall-run,1990,2062,0.46
Lower Columbia River Chinook Salmon ESU,Cascade,Washougal River,Chinook,Fall-run,1991,3494,0.47
Lower Columbia River Chinook Salmon ESU,Cascade,Washougal River,Chinook,Fall-run,1992,2164,0.76
Lower Columbia River Chinook Salmon ESU,Cascade,Washougal River,Chinook,Fall-run,1993,3836,0.52
Lower Columbia River Chinook Salmon ESU,Cascade,Washougal River,Chinook,Fall-run,1994,3625,0.7
Lower Columbia River Chinook Salmon ESU,Cascade,Washougal River,Chinook,Fall-run,1995,2969,0.39
Lower Columbia River Chinook Salmon ESU,Cascade,Washougal River,Chinook,Fall-run,1996,2821,0.17
Lower Columbia River Chinook Salmon ESU,Cascade,Washougal River,Chinook,Fall-run,1997,4529,0.12
Lower Columbia River Chinook Salmon ESU,Cascade,Washougal River,Chinook,Fall-run,1998,2971,0.24
Lower Columbia River Chinook Salmon ESU,Cascade,Washougal River,Chinook,Fall-run,1999,3105,0.68
Lower Columbia River Chinook Salmon ESU,Cascade,Washougal River,Chinook,Fall-run,2000,2088,0.7
Lower Columbia River Chinook Salmon ESU,Cascade,Washougal River,Chinook,Fall-run,2001,3836,0.43
Lower Columbia River Chinook Salmon ESU,Cascade,Washougal River,Chinook,Fall-run,2002,5725,0.47
Lower Columbia River Chinook Salmon ESU,Cascade,Washougal River,Chinook,Fall-run,2003,3440,0.39
Lower Columbia River Chinook Salmon ESU,Cascade,Washougal River,Chinook,Fall-run,2004,10404,0.25
Lower Columbia River Chinook Salmon ESU,Cascade,Washougal River,Chinook,Fall-run,2005,2671,0.41
Lower Columbia River Chinook Salmon ESU,Cascade,Washougal River,Chinook,Fall-run,2006,2600,0.14
Lower Columbia River Chinook Salmon ESU,Cascade,Washougal River,Chinook,Fall-run,2007,1528,0.87
Lower Columbia River Chinook Salmon ESU,Cascade,Washougal River,Chinook,Fall-run,2008,2491,0.93
Lower Columbia River Chinook Salmon ESU,Cascade,Washougal River,Chinook,Fall-run,2009,2741,0.3
Lower Columbia River Chinook Salmon ESU,Cascade,Washougal River,Chinook,Fall-run,2010,6087,0.14
Lower Columbia River Chinook Salmon ESU,Cascade,Washougal River,Chinook,Fall-run,2011,4725,0.18
Lower Columbia River Chinook Salmon ESU,Cascade,Washougal River,Chinook,Fall-run,2012,1913,0.29
Lower Columbia River Chinook Salmon ESU,Cascade,Washougal River,Chinook,Fall-run,2013,7185,0.42
Lower Columbia River Chinook Salmon ESU,Cascade,Washougal River,Chinook,Fall-run,2014,2038,0.67
Lower Columbia River Chinook Salmon ESU,Gorge,White Salmon River,Chinook,Fall-run,1965,914,-99
Lower Columbia River Chinook Salmon ESU,Gorge,White Salmon River,Chinook,Fall-run,1966,2865,-99
Lower Columbia River Chinook Salmon ESU,Gorge,White Salmon River,Chinook,Fall-run,1967,1212,-99
Lower Columbia River Chinook Salmon ESU,Gorge,White Salmon River,Chinook,Fall-run,1968,575,-99
Lower Columbia River Chinook Salmon ESU,Gorge,White Salmon River,Chinook,Fall-run,1969,2767,-99
Lower Columbia River Chinook Salmon ESU,Gorge,White Salmon River,Chinook,Fall-run,1970,634,-99
Lower Columbia River Chinook Salmon ESU,Gorge,White Salmon River,Chinook,Fall-run,1971,712,-99
Lower Columbia River Chinook Salmon ESU,Gorge,White Salmon River,Chinook,Fall-run,1972,864,-99
Lower Columbia River Chinook Salmon ESU,Gorge,White Salmon River,Chinook,Fall-run,1973,874,-99
Lower Columbia River Chinook Salmon ESU,Gorge,White Salmon River,Chinook,Fall-run,1974,869,-99
Lower Columbia River Chinook Salmon ESU,Gorge,White Salmon River,Chinook,Fall-run,1975,1798,-99
Lower Columbia River Chinook Salmon ESU,Gorge,White Salmon River,Chinook,Fall-run,1976,1881,1
Lower Columbia River Chinook Salmon ESU,Gorge,White Salmon River,Chinook,Fall-run,1977,216,1
Lower Columbia River Chinook Salmon ESU,Gorge,White Salmon River,Chinook,Fall-run,1978,796,1
Lower Columbia River Chinook Salmon ESU,Gorge,White Salmon River,Chinook,Fall-run,1979,636,1
Lower Columbia River Chinook Salmon ESU,Gorge,White Salmon River,Chinook,Fall-run,1980,1539,1
Lower Columbia River Chinook Salmon ESU,Gorge,White Salmon River,Chinook,Fall-run,1981,793,1
Lower Columbia River Chinook Salmon ESU,Gorge,White Salmon River,Chinook,Fall-run,1982,1562,1
Lower Columbia River Chinook Salmon ESU,Gorge,White Salmon River,Chinook,Fall-run,1983,250,1
Lower Columbia River Chinook Salmon ESU,Gorge,White Salmon River,Chinook,Fall-run,1984,369,1
Lower Columbia River Chinook Salmon ESU,Gorge,White Salmon River,Chinook,Fall-run,1985,152,1
Lower Columbia River Chinook Salmon ESU,Gorge,White Salmon River,Chinook,Fall-run,1986,97,1
Lower Columbia River Chinook Salmon ESU,Gorge,White Salmon River,Chinook,Fall-run,1987,161,1
Lower Columbia River Chinook Salmon ESU,Gorge,White Salmon River,Chinook,Fall-run,1988,366,1
Lower Columbia River Chinook Salmon ESU,Gorge,White Salmon River,Chinook,Fall-run,1989,205,1
Lower Columbia River Chinook Salmon ESU,Gorge,White Salmon River,Chinook,Fall-run,1990,124,1
Lower Columbia River Chinook Salmon ESU,Gorge,White Salmon River,Chinook,Fall-run,1991,67,1
Lower Columbia River Chinook Salmon ESU,Gorge,White Salmon River,Chinook,Fall-run,1992,132,1
Lower Columbia River Chinook Salmon ESU,Gorge,White Salmon River,Chinook,Fall-run,1993,105,0.97
Lower Columbia River Chinook Salmon ESU,Gorge,White Salmon River,Chinook,Fall-run,1994,283,0.97
Lower Columbia River Chinook Salmon ESU,Gorge,White Salmon River,Chinook,Fall-run,1995,222,0.97
Lower Columbia River Chinook Salmon ESU,Gorge,White Salmon River,Chinook,Fall-run,1996,32,0.97
Lower Columbia River Chinook Salmon ESU,Gorge,White Salmon River,Chinook,Fall-run,1997,124,0.8
Lower Columbia River Chinook Salmon ESU,Gorge,White Salmon River,Chinook,Fall-run,1998,223,0.83
Lower Columbia River Chinook Salmon ESU,Gorge,White Salmon River,Chinook,Fall-run,1999,401,0.66
Lower Columbia River Chinook Salmon ESU,Gorge,White Salmon River,Chinook,Fall-run,2000,147,0.51
Lower Columbia River Chinook Salmon ESU,Gorge,White Salmon River,Chinook,Fall-run,2001,1668,0.34
Lower Columbia River Chinook Salmon ESU,Gorge,White Salmon River,Chinook,Fall-run,2002,1787,0.38
Lower Columbia River Chinook Salmon ESU,Gorge,White Salmon River,Chinook,Fall-run,2003,11480,0.19
Lower Columbia River Chinook Salmon ESU,Gorge,White Salmon River,Chinook,Fall-run,2004,8691,0.19
Lower Columbia River Chinook Salmon ESU,Gorge,White Salmon River,Chinook,Fall-run,2005,1448,0.18
Lower Columbia River Chinook Salmon ESU,Gorge,White Salmon River,Chinook,Fall-run,2006,755,-99
Lower Columbia River Chinook Salmon ESU,Gorge,White Salmon River,Chinook,Fall-run,2007,898,-99
Lower Columbia River Chinook Salmon ESU,Gorge,White Salmon River,Chinook,Fall-run,2008,770,-99
Lower Columbia River Chinook Salmon ESU,Gorge,White Salmon River,Chinook,Fall-run,2009,964,-99
Lower Columbia River Chinook Salmon ESU,Gorge,White Salmon River,Chinook,Fall-run,2010,1505,0.73
Lower Columbia River Chinook Salmon ESU,Gorge,White Salmon River,Chinook,Fall-run,2011,379,0.88
Lower Columbia River Chinook Salmon ESU,Gorge,White Salmon River,Chinook,Fall-run,2012,755,0.93
Lower Columbia River Chinook Salmon ESU,Gorge,White Salmon River,Chinook,Fall-run,2013,1232,0.67
Lower Columbia River Chinook Salmon ESU,Gorge,White Salmon River,Chinook,Fall-run,2014,1704,0.8
Lower Columbia River Chinook Salmon ESU,Gorge,White Salmon River,Chinook,Spring-run,1976,2063,1
Lower Columbia River Chinook Salmon ESU,Gorge,White Salmon River,Chinook,Spring-run,1977,231,1
Lower Columbia River Chinook Salmon ESU,Gorge,White Salmon River,Chinook,Spring-run,1978,1063,1
Lower Columbia River Chinook Salmon ESU,Gorge,White Salmon River,Chinook,Spring-run,1979,662,1
Lower Columbia River Chinook Salmon ESU,Gorge,White Salmon River,Chinook,Spring-run,1980,1598,1
Lower Columbia River Chinook Salmon ESU,Gorge,White Salmon River,Chinook,Spring-run,1981,839,1
Lower Columbia River Chinook Salmon ESU,Gorge,White Salmon River,Chinook,Spring-run,1982,1579,1
Lower Columbia River Chinook Salmon ESU,Gorge,White Salmon River,Chinook,Spring-run,1983,280,1
Lower Columbia River Chinook Salmon ESU,Gorge,White Salmon River,Chinook,Spring-run,1984,393,1
Lower Columbia River Chinook Salmon ESU,Gorge,White Salmon River,Chinook,Spring-run,1985,153,1
Lower Columbia River Chinook Salmon ESU,Gorge,White Salmon River,Chinook,Spring-run,1986,116,1
Lower Columbia River Chinook Salmon ESU,Gorge,White Salmon River,Chinook,Spring-run,1987,161,1
Lower Columbia River Chinook Salmon ESU,Gorge,White Salmon River,Chinook,Spring-run,1988,382,1
Lower Columbia River Chinook Salmon ESU,Gorge,White Salmon River,Chinook,Spring-run,1989,243,1
Lower Columbia River Chinook Salmon ESU,Gorge,White Salmon River,Chinook,Spring-run,1990,145,1
Lower Columbia River Chinook Salmon ESU,Gorge,White Salmon River,Chinook,Spring-run,1991,75,1
Lower Columbia River Chinook Salmon ESU,Gorge,White Salmon River,Chinook,Spring-run,1992,1078,1
Lower Columbia River Chinook Salmon ESU,Gorge,White Salmon River,Chinook,Spring-run,1993,108,0.97
Lower Columbia River Chinook Salmon ESU,Gorge,White Salmon River,Chinook,Spring-run,1994,288,0.97
Lower Columbia River Chinook Salmon ESU,Gorge,White Salmon River,Chinook,Spring-run,1995,253,0.97
Lower Columbia River Chinook Salmon ESU,Gorge,White Salmon River,Chinook,Spring-run,1996,32,0.97
Lower Columbia River Chinook Salmon ESU,Gorge,White Salmon River,Chinook,Spring-run,1997,124,0.8
Lower Columbia River Chinook Salmon ESU,Gorge,White Salmon River,Chinook,Spring-run,1998,242,0.83
Lower Columbia River Chinook Salmon ESU,Gorge,White Salmon River,Chinook,Spring-run,1999,401,0.66
Lower Columbia River Chinook Salmon ESU,Gorge,White Salmon River,Chinook,Spring-run,2000,167,0.51
Lower Columbia River Chinook Salmon ESU,Gorge,White Salmon River,Chinook,Spring-run,2001,2072,0.34
Lower Columbia River Chinook Salmon ESU,Gorge,White Salmon River,Chinook,Spring-run,2002,1859,0.38
Lower Columbia River Chinook Salmon ESU,Gorge,White Salmon River,Chinook,Spring-run,2003,11898,0.19
Lower Columbia River Chinook Salmon ESU,Gorge,White Salmon River,Chinook,Spring-run,2004,8850,0.19
Lower Columbia River Chinook Salmon ESU,Gorge,White Salmon River,Chinook,Spring-run,2005,1504,0.18
Lower Columbia River Chinook Salmon ESU,Gorge,White Salmon River,Chinook,Spring-run,2006,796,-99
Lower Columbia River Chinook Salmon ESU,Gorge,White Salmon River,Chinook,Spring-run,2007,1014,-99
Lower Columbia River Chinook Salmon ESU,Gorge,White Salmon River,Chinook,Spring-run,2008,775,-99
Lower Columbia River Chinook Salmon ESU,Gorge,White Salmon River,Chinook,Spring-run,2009,1342,-99
Lower Columbia River Chinook Salmon ESU,Gorge,White Salmon River,Chinook,Spring-run,2013,88,0.17
Lower Columbia River Chinook Salmon ESU,Gorge,White Salmon River,Chinook,Spring-run,2014,216,0.05
